;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Embarked
0;0;3;155.0;1.0;22.0;1;0;726.0;7.25;2.0
1;1;1;286.0;0.0;38.0;1;0;816.0;71.2833;0.0
2;1;3;523.0;0.0;26.0;0;0;906.0;7.925;2.0
3;1;1;422.0;0.0;35.0;1;0;65.0;53.1;2.0
4;0;3;22.0;1.0;35.0;0;0;649.0;8.05;2.0
5;0;3;818.0;1.0;29.881137667304014;0;0;373.0;8.4583;1.0
6;0;1;767.0;1.0;54.0;0;0;109.0;51.8625;2.0
7;0;3;914.0;1.0;2.0;3;1;541.0;21.075;2.0
8;1;3;605.0;0.0;27.0;0;2;477.0;11.1333;2.0
9;1;2;847.0;0.0;14.0;1;0;174.0;30.0708;0.0
10;1;3;1067.0;0.0;4.0;1;1;839.0;16.7;2.0
11;1;1;133.0;0.0;58.0;0;0;50.0;26.55;2.0
12;0;3;1070.0;1.0;20.0;0;0;721.0;8.05;2.0
13;0;3;38.0;1.0;39.0;1;5;459.0;31.275;2.0
14;0;3;1221.0;0.0;14.0;0;0;566.0;7.8542;2.0
15;1;2;533.0;0.0;55.0;0;0;204.0;16.0;2.0
16;0;3;995.0;1.0;2.0;4;1;659.0;29.125;1.0
17;1;2;1271.0;1.0;29.881137667304014;0;0;201.0;13.0;2.0
18;0;3;1216.0;0.0;31.0;1;0;417.0;18.0;2.0
19;1;3;760.0;0.0;29.881137667304014;0;0;243.0;7.225;0.0
20;0;2;423.0;1.0;35.0;0;0;182.0;26.0;2.0
21;1;2;112.0;1.0;34.0;0;0;203.0;13.0;2.0
22;1;3;778.0;0.0;15.0;0;0;379.0;8.0292;1.0
23;1;1;1111.0;1.0;28.0;0;0;54.0;35.5;2.0
24;0;3;917.0;0.0;8.0;3;1;541.0;21.075;2.0
25;1;3;64.0;0.0;38.0;1;5;454.0;31.3875;2.0
26;0;3;371.0;1.0;29.881137667304014;0;0;238.0;7.225;0.0
27;0;1;404.0;1.0;19.0;3;2;123.0;263.0;2.0
28;1;3;885.0;0.0;29.881137667304014;0;0;385.0;7.8792;1.0
29;0;3;1186.0;1.0;29.881137667304014;0;0;499.0;7.8958;2.0
30;0;1;1205.0;1.0;40.0;0;0;818.0;27.7208;0.0
31;1;1;1131.0;0.0;29.881137667304014;1;0;802.0;146.5208;0.0
32;1;3;446.0;0.0;29.881137667304014;0;0;397.0;7.75;1.0
33;0;2;1251.0;1.0;66.0;0;0;746.0;10.5;2.0
34;0;1;793.0;1.0;28.0;1;0;820.0;82.1708;0.0
35;0;1;554.0;1.0;42.0;1;0;55.0;52.0;2.0
36;1;3;750.0;1.0;29.881137667304014;0;0;272.0;7.2292;0.0
37;0;3;194.0;1.0;21.0;0;0;705.0;8.05;2.0
38;0;3;1213.0;0.0;18.0;2;0;418.0;18.0;2.0
39;1;3;862.0;0.0;14.0;1;0;245.0;11.2417;0.0
40;0;3;12.0;0.0;40.0;1;0;695.0;9.475;2.0
41;0;2;1204.0;0.0;27.0;1;0;69.0;21.0;2.0
42;0;3;662.0;1.0;29.881137667304014;0;0;536.0;7.8958;0.0
43;1;2;678.0;0.0;3.0;1;2;866.0;41.5792;0.0
44;1;3;325.0;0.0;19.0;0;0;384.0;7.8792;1.0
45;0;3;1015.0;1.0;29.881137667304014;0;0;840.0;8.05;2.0
46;0;3;698.0;1.0;29.881137667304014;1;0;637.0;15.5;1.0
47;1;3;884.0;0.0;29.881137667304014;0;0;100.0;7.75;1.0
48;0;3;1065.0;1.0;29.881137667304014;2;0;256.0;21.6792;0.0
49;0;3;52.0;0.0;18.0;1;0;520.0;17.8;2.0
50;0;3;920.0;1.0;7.0;4;1;335.0;39.6875;2.0
51;0;3;871.0;1.0;21.0;0;0;714.0;7.8;2.0
52;1;1;500.0;0.0;49.0;1;0;803.0;76.7292;0.0
53;1;2;381.0;0.0;29.0;1;0;324.0;26.0;2.0
54;0;1;907.0;1.0;65.0;0;1;39.0;61.9792;0.0
55;1;1;1281.0;1.0;29.881137667304014;0;0;122.0;35.5;2.0
56;1;2;1031.0;0.0;21.0;0;0;753.0;10.5;2.0
57;0;3;873.0;1.0;28.5;0;0;292.0;7.2292;0.0
58;1;2;1247.0;0.0;5.0;1;2;763.0;27.75;2.0
59;0;3;457.0;1.0;11.0;5;2;777.0;46.9;2.0
60;0;3;1095.0;1.0;22.0;0;0;263.0;7.2292;0.0
61;1;1;571.0;0.0;38.0;0;0;42.0;80.0;2.0
62;0;1;504.0;1.0;45.0;1;0;630.0;83.475;2.0
63;0;3;1101.0;1.0;4.0;3;2;464.0;27.9;2.0
64;0;1;1143.0;1.0;29.881137667304014;0;0;821.0;27.7208;0.0
65;1;3;824.0;1.0;29.881137667304014;1;1;255.0;15.2458;0.0
66;1;2;874.0;0.0;29.0;0;0;750.0;10.5;2.0
67;0;3;278.0;1.0;19.0;0;0;849.0;8.1583;2.0
68;1;3;34.0;0.0;17.0;4;2;334.0;7.925;2.0
69;0;3;652.0;1.0;26.0;2;0;363.0;8.6625;2.0
70;0;2;587.0;1.0;32.0;0;0;757.0;10.5;2.0
71;0;3;459.0;0.0;16.0;5;2;777.0;46.9;2.0
72;0;2;558.0;1.0;21.0;0;0;847.0;73.5;2.0
73;0;3;236.0;1.0;26.0;1;0;275.0;14.4542;0.0
74;1;3;121.0;1.0;32.0;0;0;104.0;56.4958;2.0
75;0;3;809.0;1.0;25.0;0;0;481.0;7.65;2.0
76;0;3;1134.0;1.0;29.881137667304014;0;0;491.0;7.8958;2.0
77;0;3;828.0;1.0;29.881137667304014;0;0;650.0;8.05;2.0
78;1;2;184.0;1.0;0.83;0;2;211.0;29.0;2.0
79;1;3;343.0;0.0;30.0;0;0;593.0;12.475;2.0
80;0;3;1223.0;1.0;22.0;0;0;420.0;9.0;2.0
81;1;3;1081.0;1.0;29.0;0;0;430.0;9.5;2.0
82;1;3;774.0;0.0;29.881137667304014;0;0;382.0;7.7875;1.0
83;0;1;205.0;1.0;28.0;0;0;35.0;47.1;2.0
84;1;2;572.0;0.0;17.0;0;0;871.0;10.5;2.0
85;1;3;77.0;0.0;33.0;3;0;333.0;15.85;2.0
86;0;3;398.0;1.0;16.0;1;3;924.0;34.375;2.0
87;0;3;1110.0;1.0;29.881137667304014;0;0;894.0;8.05;2.0
88;1;1;403.0;0.0;23.0;3;2;123.0;263.0;2.0
89;0;3;218.0;1.0;24.0;0;0;411.0;8.05;2.0
90;0;3;233.0;1.0;29.0;0;0;412.0;8.05;2.0
91;0;3;42.0;1.0;20.0;0;0;471.0;7.8542;2.0
92;0;1;219.0;1.0;46.0;1;0;926.0;61.175;2.0
93;0;3;317.0;1.0;26.0;1;2;745.0;20.575;2.0
94;0;3;276.0;1.0;59.0;0;0;589.0;7.25;2.0
95;0;3;1085.0;1.0;29.881137667304014;0;0;652.0;8.05;2.0
96;0;1;449.0;1.0;71.0;0;0;830.0;34.6542;0.0
97;1;1;469.0;1.0;23.0;0;1;835.0;63.3583;0.0
98;1;2;337.0;0.0;34.0;0;1;149.0;23.0;2.0
99;0;2;620.0;1.0;34.0;1;0;199.0;26.0;2.0
100;0;3;958.0;0.0;28.0;0;0;528.0;7.8958;2.0
101;0;3;960.0;1.0;29.881137667304014;0;0;498.0;7.8958;2.0
102;0;1;1254.0;1.0;21.0;0;1;574.0;77.2875;2.0
103;0;3;596.0;1.0;33.0;0;0;693.0;8.6542;2.0
104;0;3;475.0;1.0;37.0;2;0;331.0;7.925;2.0
105;0;3;804.0;1.0;28.0;0;0;490.0;7.8958;2.0
106;1;3;1060.0;0.0;21.0;0;0;409.0;7.65;2.0
107;1;3;823.0;1.0;29.881137667304014;0;0;341.0;7.775;2.0
108;0;3;985.0;1.0;38.0;0;0;532.0;7.8958;2.0
109;1;3;816.0;0.0;29.881137667304014;1;0;646.0;24.15;1.0
110;0;1;974.0;1.0;47.0;0;0;2.0;52.0;2.0
111;0;3;1291.0;0.0;14.5;1;0;259.0;14.4542;0.0
112;0;3;95.0;1.0;22.0;0;0;370.0;8.05;2.0
113;0;3;615.0;0.0;20.0;1;0;674.0;9.825;2.0
114;0;3;70.0;0.0;17.0;0;0;235.0;14.4583;0.0
115;0;3;943.0;1.0;21.0;0;0;916.0;7.925;2.0
116;0;3;262.0;1.0;70.5;0;0;635.0;7.75;1.0
117;0;2;1203.0;1.0;29.0;1;0;69.0;21.0;2.0
118;0;1;98.0;1.0;24.0;0;1;800.0;247.5208;0.0
119;0;3;33.0;0.0;2.0;4;2;459.0;31.275;2.0
120;0;2;536.0;1.0;21.0;2;0;847.0;73.5;2.0
121;0;3;815.0;1.0;29.881137667304014;0;0;738.0;8.05;2.0
122;0;2;846.0;1.0;32.5;1;0;174.0;30.0708;0.0
123;1;2;1237.0;0.0;32.5;0;0;297.0;13.0;2.0
124;0;1;1253.0;1.0;54.0;0;1;574.0;77.2875;2.0
125;1;3;861.0;1.0;12.0;1;0;245.0;11.2417;0.0
126;0;3;781.0;1.0;29.881137667304014;0;0;638.0;7.75;1.0
127;1;3;738.0;1.0;24.0;0;0;770.0;7.1417;2.0
128;1;3;954.0;0.0;29.881137667304014;1;1;262.0;22.3583;0.0
129;0;3;364.0;1.0;45.0;0;0;438.0;6.975;2.0
130;0;3;347.0;1.0;33.0;0;0;524.0;7.8958;0.0
131;0;3;244.0;1.0;20.0;0;0;876.0;7.05;2.0
132;0;3;1012.0;0.0;47.0;1;0;723.0;14.5;2.0
133;1;2;1241.0;0.0;29.0;1;0;143.0;26.0;2.0
134;0;2;1123.0;1.0;25.0;0;0;749.0;13.0;2.0
135;0;2;998.0;1.0;23.0;0;0;857.0;15.0458;0.0
136;1;1;858.0;0.0;19.0;0;2;71.0;26.2833;2.0
137;0;1;421.0;1.0;37.0;1;0;65.0;53.1;2.0
138;0;3;904.0;1.0;16.0;0;0;691.0;9.2167;2.0
139;0;1;436.0;1.0;24.0;0;0;810.0;79.2;0.0
140;0;3;140.0;0.0;29.881137667304014;0;2;273.0;15.2458;0.0
141;1;3;875.0;0.0;22.0;0;0;458.0;7.75;2.0
142;1;3;483.0;0.0;24.0;1;0;904.0;15.85;2.0
143;0;3;170.0;1.0;19.0;0;0;602.0;6.75;1.0
144;0;2;43.0;1.0;18.0;0;0;150.0;11.5;2.0
145;0;2;859.0;1.0;19.0;1;1;758.0;36.75;2.0
146;1;3;39.0;1.0;27.0;0;0;553.0;7.7958;2.0
147;0;3;395.0;0.0;9.0;2;2;924.0;34.375;2.0
148;0;2;852.0;1.0;36.5;0;2;145.0;26.0;2.0
149;0;2;176.0;1.0;42.0;0;0;194.0;13.0;2.0
150;0;2;96.0;1.0;51.0;0;0;848.0;12.525;2.0
151;1;1;940.0;0.0;22.0;1;0;46.0;66.6;2.0
152;0;3;790.0;1.0;55.5;0;0;709.0;8.05;2.0
153;0;3;1305.0;1.0;40.5;0;2;724.0;14.5;2.0
154;0;3;895.0;1.0;29.881137667304014;0;0;786.0;7.3125;2.0
155;0;1;1270.0;1.0;51.0;0;1;814.0;61.3792;0.0
156;1;3;444.0;0.0;16.0;0;0;575.0;7.7333;1.0
157;0;3;270.0;1.0;30.0;0;0;896.0;8.05;2.0
158;0;3;1113.0;1.0;29.881137667304014;0;0;345.0;8.6625;2.0
159;0;3;1047.0;1.0;29.881137667304014;8;2;776.0;69.55;2.0
160;0;3;280.0;1.0;44.0;0;1;647.0;16.1;2.0
161;1;2;1236.0;0.0;40.0;0;0;759.0;15.75;2.0
162;0;3;114.0;1.0;26.0;0;0;445.0;7.775;2.0
163;0;3;187.0;1.0;17.0;0;0;357.0;8.6625;2.0
164;0;3;919.0;1.0;1.0;4;1;335.0;39.6875;2.0
165;1;3;450.0;1.0;9.0;0;2;583.0;20.525;2.0
166;1;1;230.0;0.0;29.881137667304014;0;1;38.0;55.0;2.0
167;0;3;1106.0;0.0;45.0;1;4;464.0;27.9;2.0
168;0;1;97.0;1.0;29.881137667304014;0;0;790.0;25.925;2.0
169;0;3;716.0;1.0;28.0;0;0;104.0;56.4958;2.0
170;0;1;1217.0;1.0;61.0;0;0;8.0;33.5;2.0
171;0;3;993.0;1.0;4.0;4;1;659.0;29.125;1.0
172;1;3;601.0;0.0;1.0;1;1;477.0;11.1333;2.0
173;0;3;1098.0;1.0;21.0;0;0;905.0;7.925;2.0
174;0;1;1115.0;1.0;56.0;0;0;115.0;30.6958;0.0
175;0;3;659.0;1.0;18.0;1;1;564.0;7.8542;2.0
176;0;3;687.0;1.0;29.881137667304014;3;1;671.0;25.4667;2.0
177;0;1;576.0;0.0;50.0;0;0;812.0;28.7125;0.0
178;0;2;484.0;1.0;30.0;0;0;225.0;13.0;2.0
179;0;3;699.0;1.0;36.0;0;0;787.0;0.0;2.0
180;0;3;1050.0;0.0;29.881137667304014;8;2;776.0;69.55;2.0
181;0;2;949.0;1.0;29.881137667304014;0;0;856.0;15.05;0.0
182;0;3;58.0;1.0;9.0;4;2;454.0;31.3875;2.0
183;1;2;106.0;1.0;1.0;2;1;146.0;39.0;2.0
184;1;3;653.0;0.0;4.0;0;2;365.0;22.025;2.0
185;0;1;1018.0;1.0;29.881137667304014;0;0;44.0;50.0;2.0
186;1;3;879.0;0.0;29.881137667304014;1;0;633.0;15.5;1.0
187;1;1;1016.0;1.0;45.0;0;0;14.0;26.55;2.0
188;0;3;142.0;1.0;40.0;1;1;596.0;15.5;1.0
189;0;3;1200.0;1.0;36.0;0;0;530.0;7.8958;2.0
190;1;2;968.0;0.0;32.0;0;0;156.0;13.0;2.0
191;0;2;197.0;1.0;19.0;0;0;310.0;13.0;2.0
192;1;3;29.0;0.0;19.0;1;0;555.0;7.8542;2.0
193;1;2;851.0;1.0;3.0;1;1;145.0;26.0;2.0
194;1;1;162.0;0.0;44.0;0;0;826.0;27.7208;0.0
195;1;1;732.0;0.0;58.0;0;0;802.0;146.5208;0.0
196;0;3;791.0;1.0;29.881137667304014;0;0;624.0;7.75;1.0
197;0;3;894.0;1.0;42.0;0;1;677.0;8.4042;2.0
198;1;3;736.0;0.0;29.881137667304014;0;0;636.0;7.75;1.0
199;0;2;1290.0;0.0;24.0;0;0;215.0;13.0;2.0
200;0;3;1210.0;1.0;28.0;0;0;423.0;9.5;2.0
201;0;3;1054.0;1.0;29.881137667304014;8;2;776.0;69.55;2.0
202;0;3;594.0;1.0;34.0;0;0;327.0;6.4958;2.0
203;0;3;1287.0;1.0;45.5;0;0;236.0;7.225;0.0
204;1;3;245.0;1.0;18.0;0;0;734.0;8.05;2.0
205;0;3;1153.0;0.0;2.0;0;1;436.0;10.4625;2.0
206;0;3;76.0;1.0;32.0;1;0;333.0;15.85;2.0
207;1;3;15.0;1.0;26.0;0;0;294.0;18.7875;0.0
208;1;3;203.0;0.0;16.0;0;0;613.0;7.75;1.0
209;1;1;131.0;1.0;40.0;0;0;21.0;31.0;0.0
210;0;3;19.0;1.0;24.0;0;0;880.0;7.05;2.0
211;1;2;189.0;0.0;35.0;0;0;781.0;21.0;2.0
212;0;3;948.0;1.0;22.0;0;0;729.0;7.25;2.0
213;0;2;445.0;1.0;30.0;0;0;218.0;13.0;2.0
214;0;3;647.0;1.0;29.881137667304014;1;0;611.0;7.75;1.0
215;1;1;855.0;0.0;31.0;1;0;573.0;113.275;0.0
216;1;3;557.0;0.0;27.0;0;0;907.0;7.925;2.0
217;0;2;579.0;1.0;42.0;1;0;189.0;27.0;2.0
218;1;1;100.0;0.0;32.0;0;0;81.0;76.2917;0.0
219;0;2;505.0;1.0;30.0;0;0;927.0;10.5;2.0
220;1;3;1155.0;1.0;16.0;0;0;895.0;8.05;2.0
221;0;2;148.0;1.0;27.0;0;0;136.0;13.0;2.0
222;0;3;467.0;1.0;51.0;0;0;133.0;8.05;2.0
223;0;3;853.0;1.0;29.881137667304014;0;0;517.0;7.8958;2.0
224;1;1;564.0;1.0;38.0;1;0;121.0;90.0;2.0
225;0;3;116.0;1.0;22.0;0;0;838.0;9.35;2.0
226;1;2;789.0;1.0;19.0;0;0;918.0;10.5;2.0
227;0;3;727.0;1.0;20.5;0;0;728.0;7.25;2.0
228;0;2;377.0;1.0;18.0;0;0;160.0;13.0;2.0
229;0;3;690.0;0.0;29.881137667304014;3;1;671.0;25.4667;2.0
230;1;1;506.0;0.0;35.0;1;0;630.0;83.475;2.0
231;0;3;682.0;1.0;29.0;0;0;444.0;7.775;2.0
232;0;2;1100.0;1.0;59.0;0;0;167.0;13.5;2.0
233;1;3;61.0;0.0;5.0;4;2;454.0;31.3875;2.0
234;0;2;704.0;1.0;24.0;0;0;751.0;10.5;2.0
235;0;3;496.0;0.0;29.881137667304014;0;0;925.0;7.55;2.0
236;0;2;550.0;1.0;44.0;1;0;265.0;26.0;2.0
237;1;2;253.0;0.0;8.0;0;2;756.0;26.25;2.0
238;0;2;947.0;1.0;19.0;0;0;314.0;10.5;2.0
239;0;2;568.0;1.0;33.0;0;0;870.0;12.275;2.0
240;0;3;1292.0;0.0;29.881137667304014;1;0;259.0;14.4542;0.0
241;1;3;833.0;0.0;29.881137667304014;1;0;612.0;15.5;1.0
242;0;2;249.0;1.0;29.0;0;0;921.0;10.5;2.0
243;0;3;739.0;1.0;22.0;0;0;903.0;7.125;2.0
244;0;3;71.0;1.0;30.0;0;0;289.0;7.225;0.0
245;0;1;799.0;1.0;44.0;2;0;120.0;90.0;1.0
246;0;3;706.0;0.0;25.0;0;0;448.0;7.775;2.0
247;1;2;486.0;0.0;24.0;0;2;221.0;14.5;2.0
248;1;1;110.0;1.0;37.0;1;1;70.0;52.5542;2.0
249;0;2;212.0;1.0;54.0;1;0;191.0;26.0;2.0
250;0;3;983.0;1.0;29.881137667304014;0;0;581.0;7.25;2.0
251;0;3;1154.0;0.0;29.0;1;1;436.0;10.4625;2.0
252;0;1;1139.0;1.0;62.0;0;0;41.0;26.55;2.0
253;0;3;719.0;1.0;30.0;1;0;722.0;16.1;2.0
254;0;3;1021.0;0.0;41.0;0;2;632.0;20.2125;2.0
255;1;3;1195.0;0.0;29.0;0;2;244.0;15.2458;0.0
256;1;1;1181.0;0.0;29.881137667304014;0;0;806.0;79.2;0.0
257;1;1;228.0;0.0;30.0;0;0;0.0;86.5;2.0
258;1;1;1226.0;0.0;35.0;0;0;831.0;512.3292;0.0
259;1;2;928.0;0.0;50.0;0;1;147.0;26.0;2.0
260;0;3;1118.0;1.0;29.881137667304014;0;0;664.0;7.75;1.0
261;1;3;59.0;1.0;3.0;4;2;454.0;31.3875;2.0
